gene,cell_line
KRAS,Abcam A-549 SMARCA4 KO
KRAS,Abcam A-549 NR1H2 KO
KRAS,Abcam A-549 EGF KO
KRAS,Abcam A-549 EZH1 KO
KRAS,Abcam A-549 NAMPT KO
KRAS,Abcam A-549 GATA6 KO
KRAS,Abcam A-549 CD4 KO
KRAS,Abcam A-549 PRKAA1 KO
KRAS,Abcam A-549 KDM1A KO
KRAS,Abcam A-549 CTH KO
KRAS,Abcam A-549 CA12 KO
KRAS,Abcam A-549 CSF1R KO
KRAS,Abcam A-549 OAS1 KO 1
KRAS,Abcam A-549 MEN1 KO
KRAS,Abcam A-549 IFI6 KO 1
KRAS,CCCL-18
KRAS,Abcam A-549 TLR1 KO
KRAS,HAP1 KRAS (-) 3
KRAS,Abcam A-549 EPHB2 KO
KRAS,Abcam A-549 ERBB4 KO
KRAS,Abcam A-549 LGALS1 KO
KRAS,Abcam A-549 IL23R KO
KRAS,Abcam A-549 GLI2 KO
KRAS,Abcam A-549 CCNE1 KO
KRAS,Abcam A-549 ABCC4 KO
KRAS,Abcam A-549 NOD1 KO
KRAS,Abcam A-549 IFIT5 KO 1
KRAS,Abcam A-549 RARB KO
KRAS,Abcam A-549 PTCH1 KO
KRAS,SW48 KRAS (G12R/+)
KRAS,SW48 KRAS (G12D/+)
KRAS,Abcam A-549 RTP4 KO 1
KRAS,Abcam A-549 PDIA3 KO
KRAS,Abcam A-549 ERBB3 KO
KRAS,Abcam A-549 ATF6 KO
KRAS,Abcam A-549 MICA KO
KRAS,Abcam A-549 PABPC1 KO
KRAS,Abcam A-549 CD5 KO
KRAS,Abcam A-549 CCL2 KO
KRAS,Abcam A-549 IRS1 KO
KRAS,Abcam A-549 PRKAR1A KO
KRAS,Abcam A-549 FOS KO
KRAS,Abcam A-549 CARD9 KO
KRAS,Abcam A-549 CXCR1 KO
KRAS,Abcam A-549 CD8A KO
KRAS,Abcam A-549 CD28 KO
KRAS,Abcam A-549 SOX17 KO
KRAS,Abcam A-549 SMAD4 KO
KRAS,Ubigene A-549 KRAS KO
KRAS,Abcam A-549 PDGFRA KO
KRAS,Abcam A-549 FOLH1 KO
KRAS,Abcam A-549 GRIN2B KO
KRAS,Abcam A-549 SALL4 KO
KRAS,Abcam A-549 NR1H3 KO
KRAS,Abcam A-549 MSLN KO
KRAS,Abcam A-549 PARP14 KO 1
KRAS,Abcam A-549 NCAM2 KO
KRAS,Abcam A-549 PTGES KO
KRAS,CPTC-KRAS4B-3
KRAS,Abcam A-549 SMAD7 KO
KRAS,Abcam A-549 FEN1 KO
KRAS,Abcam A-549 PRKD2 KO
KRAS,Abcam A-549 MX2 KO 1
KRAS,Abcam A-549 GATA2 KO
KRAS,Abcam A-549 CD74 KO
KRAS,Abcam A-549 NPC1 KO
KRAS,Abcam A-549 ADA KO
KRAS,A549 HIF1A -/-/-
KRAS,Abcam A-549 TLR4 KO
KRAS,Abcam A-549 CASP6 KO
KRAS,Abcam A-549 CD86 KO
KRAS,U2OS-tetR-PAmCherry1-KRAS G12D
KRAS,HPDE-iKRASwt
KRAS,Abcam A-549 THBD KO
KRAS,Abcam A-549 KDM5B KO
KRAS,Abcam A-549 STIM2 KO
KRAS,Abcam A-549 LRG1 KO
KRAS,Abcam A-549 LGALS3 KO
KRAS,Abcam A-549 CASP8 KO
KRAS,Abcam A-549 ALDH1A1 KO
KRAS,Abcam A-549 ABL2 KO
KRAS,CPTC-KRAS4B-4
KRAS,LIM1215 KRAS (G12C/+)
KRAS,Abcam A-549 STAT6 KO
